formal,informal,enfp,joongding,gentle
"저는 감자튀김이 좋지만, 맨날 고양이가 훔쳐 먹어요.","나는 감자튀김이 좋지만, 맨날 고양이가 훔쳐 먹어.","난 감자튀김이 좋지만,, 맨날 고양이가 훔쳐 머거!!",난 감튀가 제일 좋은데 맨날 고양이가 훔쳐먹음 ㅡㅡ,"저는 감자튀김이 좋습니다만, 맨날 고양이가 훔쳐 먹습니다."
고양이를 몇마리나 키우시나요?,고양이를 몇 마리나 키워?,고양이를 몇마리나 키워???!,고양이 몇마리나 키우는데,고양이를 몇마리나 키우십니까?
한 마리만 키우는 중이에요. 갈색 고양이이에요.,한 마리만 키우는 중이야. 갈색 고양이야.,한 마리만 키우는 중이얌!! 갈색 고양이야 ㅎㅎ,한마리만 키움. 갈색 고양인데 왜,한마리만 키우는 중입니다. 갈색 고양입니다.
몇 살인가요?,몇 살이야?,몇 살이얌???,몇살임,몇살입니까?
저는 서른 한 살입니다.,난 서른 한 살이야.,난 서른 한살이얌ㅎㅎ,나 서른한살인데,저는 서른한살입니다.
고양이 나이는 몇 살인가요?,아니 고양이 나이는 몇 살이냐고.,고양이 나이는 몇살이얌?!,아니 ㅡㅡ 고양이가 몇살이냐고,고양이 나이는 몇 살입니까?
"아, 고양이 나이는 여섯 살입니다. 대학교를 졸업하고 나서 키우기 시작했어요.","아, 고양이 나이는 여섯 살이야. 대학교를 졸업하고 나서 키우기 시작했어.",아! 고양이 나인 여섯살이야! 대학교 졸업하구 나서 키우기 시작했어!,아 고양이는 6살임. 대학 졸업하고 키우기 시작함,"아, 고양이 나이는 여섯 살입니다. 대학교를 졸업하고 나서 키우기 시작했습니다."
스물 다섯살에 대학교를 졸업했나요?,스물 다섯살에 대학교를 졸업했어?,스물 다섯에 대학을 졸업해쒀?!,대학교를 무슨 스물다섯살에 졸업했냐,스물 다섯살에 대학교를 졸업하셨습니까?
"네, 생물학을 공부했습니다.","응, 생물학을 공부했어.",웅! 생물학을 공부했어 ㅎㅎ,ㅇ 생물학 공부함,"네, 생물학을 공부했습니다."
"멋있네요, 전 대학교를 가지 못했는데.","멋있네, 난 대학교를 가지 못했는데.","멋지당 난 대학교 가진 못했는뎅,,,",ㅇㅎ 난 대학 못감,멋있습니다. 전 대학교를 가지 못했습니다.
왜 가지 못했나요?,왜 가지 못했어?,왜 못 갔엉..???,왜 못갔는데,왜 못 가셨나요?
돈이 없어서 등록금을 내지 못했어요. 아르바이트를 해서 올해 내로 모으고 싶어요.,돈이 없어서 등록금을 내지 못했어. 아르바이트를 해서 올해 내로 모으고 싶어.,"돈이 없어서 등록금을 못냈어,,, 알바 해서 올해 내로 모으고 싶어!",돈없어서 등록금 못냈음 ㅡㅡ 알바해서 올해 내로 모을라고,돈이 없어서 등록금을 내지 못했습니다. 아르바이트를 해서 올해 내로 모으고 싶습니다.
꼭 모으시길 바랍니다.,꼭 모으길 바랄게.,꼭 모으길 바라!!,모았으면 좋겠다,꼭 모으시길 바랍니다.
"감사합니다, 이제 반 정도 모았어요.","고마워, 이제 반 정도 모았어.",고마어 ㅎㅎ 이제 반정도 모았어!!,ㄳ 이제 반정도 모음,감사합니다. 이제 반 정도 모았습니다.
"안녕하십니까, 스포츠 하시나요?","안녕, 스포츠 해?",안뇽~! 스포츠 해?!??,ㅎㅇ 스포츠 아냐,"안녕하십니까, 스포츠 하십니까?"
"운동을 하지는 않지만, 보는 건 좋아합니다.","운동을 하지는 않지만, 보는 건 좋아해.","운동을 하진 않지만,,, 보는 건 좋아행!!",운동 안하는데 보는건 좋아함 왜,운동을 하진 않지만 보는 것은 좋아합니다.
제일 좋아하는 운동이 뭔가요?,제일 좋아하는 운동이 뭐야?,젤 좋아하는 운동이 모야?!,제일 좋아하는 운동은 뭔데,제일 좋아하는 운동이 무엇입니까?
저는 주로 테니스 경기를 봅니다.,나는 주로 테니스 경기를 봐.,난 주로 테니스 경기봐!,주로 테니스 경기 봄,저는 주로 테니스 경기를 봅니다.
저도 테니스 좋아해요. 제일 좋아하는 선수는 나달입니다.,나도 테니스 좋아해. 제일 좋아하는 선수는 나달이야.,나두 테니스 좋아해 ㅎㅎ 젤 좋아하는 선수는 나달이얌!,나도 테니스 좋아함. 난 선수중에 나달이 제일 좋음,저도 테니스 좋아합니다. 제일 좋아하는 선수는 나달입니다.
나달은 정말 테니스를 잘하는 선수죠. 제가 제일 좋아하는 선수는 페더러입니다.,나달은 정말 테니스를 잘하는 선수지. 내가 제일 좋아하는 선수는 페더러야.,나달은 진짜 테니스 잘하는 선수지! 내가 젤 좋아하는 선수는 페더러야!,나달 테니스 잘하긴 함ㅋ 난 페더러가 제일 좋더라,나달은 정말 테니스를 잘하는 선수입니다. 제가 제일 좋아하는 선수는 패더러입니다.
페더러는 정말 대단한 것 같아요. 올해로 서른아홉살 아닌가요?,페더러는 정말 대단한 것 같아. 올해로 서른아홉살 아닌가?,페더러는 정말 대단한 거 같아!! 올해루 서른아홉살 아냐?!,페더러 잘함. 올해 서른아홉인가,패더러는 정말 대단합니다. 올해로 서른아홉살 아닙니까?
"네, 운동선수로써의 경력도 길지만, 그 오랜 시간동안 상위권을 유지했다는 것이 대단합니다.","응, 운동선수로써의 경력도 길지만, 그 오랜 시간동안 상위권을 유지했다는 것이 대단해.","웅,,, 운동선수로써의 경력도 길지만,,, 그 오랜 시간동안 상위권을 유지했다는 게 대단해!!",ㅇ 운동선수 경력도 길지만 계속 상위권이였다는게 대단함,"네, 운동선수로써의 경력도 길지만, 그 오랜 시간동안 상위권을 유지했다는 것이 대단합니다."
왜 페더러를 좋아하시나요?,왜 페더러를 좋아해?,왜 페더러를 좋아행???,왜 페더러 좋아하는데,왜 페더러를 좋아하십니까?
"개인적으로 테니스를 잘 하는 것도 좋아하지만, 자만하지 않고 계속 연습하는 모습이 인상깊었습니다.","개인적으로 테니스를 잘 하는 것도 좋아하지만, 자만하지 않고 계속 연습하는 모습이 인상깊었어.","갠적으로 테니스를 잘 하는 것두 좋지만,,, 자만하지 않구 계속 연습하는 모습이 인상깊었엉!!",개인적으로 테니스 잘하는 것도 좋아하는데 자만하지 않고 계속 연습하는게 인상깊음,"개인적으로 테니스를 잘 하는 것도 좋지만, 자만하지 않고 계속 연습하는 모습이 인상깊었습니다."
나달도 연습을 정말 많이 하지 않나요?,나달도 연습을 정말 많이 하지 않나?,나달두 연습 진짜 많이 하지 않앙??,나달도 연습 많이 할걸,나달도 연습을 정말 많이 하지 않습니까?
"물론 나달도 연습을 많이 하지만, 아직 신인이지 않습니까?","물론 나달도 연습을 많이 하지만, 아직 신인이잖아?","물론! 나달도 연습을 많이 하지만, 아직 신인이지 않았엉??",나달도 연습 많이 하긴 하는데 아직 신인임 ㅡㅡ,"물론 나달도 연습을 많이 하지만, 아직 신인이지 않습니까?"
사실 페더러가 나달 상대로 테니스 경기를 이긴다는 것이 대단한 것 같긴 해요.,사실 페더러가 나달 상대로 테니스 경기를 이긴다는 것이 대단한 것 같긴 해.,사실 페더러가 나달 상대로 테니스 경기를 이긴다는 것이 대단한 것 같긴해!!,사실 페더러가 나달 상대로 테니스 경기 이긴다는게 대단한거임,사실 페더러가 나달 상대로 테니스 경기를 이긴다는 것이 대단한 것 같습니다.
어째서 그런건가요?,어째서 그래?,왜 그런거얌??,왜,왜 그런가요?
"페더러는 나이가 많잖아요, 나달보다 활동량이 떨어질 수 밖에 없는데 기술로 그 차이를 메꾸는 것이 대단하다고 생각합니다.","페더러는 나이가 많잖아, 나달보다 활동량이 떨어질 수 밖에 없는데 기술로 그 차이를 메꾸는 것이 대단하다고 생각해.","페더러는 나이가 많잖아! 나달보다 활동량이 떨어질 수 밖에 없는뎅,, 기술로 그 차이를 메꾸는 게 대단한 거 가타!!",페더러 늙었음 ㅡㅡ 나달보다 활동량이 떨어질 수 밖에 없는데 기술로 그 차이 메꾸는게 대단한듯,"페더러는 나이가 많지 않습니까, 나달보다 활동량이 떨어질 수 밖에 없는데, 기술로 그 차이를 메꾸는 것이 대단하다고 생각합니다."
앞으로도 둘이 테니스를 잘 했으면 좋겠네요.,앞으로도 둘이 테니스를 잘 했으면 좋겠다.,앞으로 둘이 테니스 잘 했음 좋겟다 ㅎㅎ,앞으로도 둘이 테니스 잘 했으면 좋겠네,앞으로도 둘이 테니스를 잘 했으면 좋겠습니다.
"안녕하세요, 우리 점심식사 교환해 먹을래요?","안녕, 우리 점심식사 바꿔 먹을래?",안뇽~ 우리 점심식사 바꿔먹을랭???,ㅎㅇ 점심 바꿔먹자,"안녕하십니까, 저희 점심식사 교환해 먹는 건 어떻습니까?"
왜 점심식사를 교환하고 싶은건가요?,왜 점심식사를 교환하고 싶은 거야?,왜 바꾸고 싶엉???,왜 바꾸고 싶은데 ㅡㅡ,왜 점심식사를 교환하고 싶어하십니까?
항상 엄마가 땅콩버터와 포도잼 샌드위치를 싸주셔서 질렸어요.,항상 엄마가 땅콩버터와 포도잼 샌드위치를 싸주셔서 질렸어.,"항상 엄마가 땅콩버터랑 포도잼 샌드위치를 싸주셔서 질렸어,,,",항상 엄마가 땅콩버터랑 포도잼 샌드위치 싸줘서 질림,항상 엄마가 땅콩버터와 포도잼 샌드위치를 싸주셔서 질렸습니다.
땅콩버터가 들어있나요? 제가 알레르기가 있어서 교환은 안될 것 같네요.,땅콩버터가 들어있어? 내가 알레르기가 있어서 교환은 안될 것 같네.,"땅콩버터가 들어있엉?? 나 알레르기가 있어서,,, 교환은 안될 것 같아ㅜㅜ",땅콩버터 있음? 나 알레르기 있어서 교환 안됨 ㅡㅡ,땅콩버터가 들어있습니까? 제가 알레르기가 있어서 교환은 안될 것 같습니다.
그런가요? 매우 아쉽네요.,그래? 매우 아쉽네.,그랭?! 엄청 아쉽다ㅜㅜ,ㅇㅎ ㄲㅂ,그렇습니까? 매우 아쉽군요.
하지만 제 점심을 조금 드릴게요. 새우 부리토입니다.,하지만 내 점심을 조금 줄게. 새우 부리토야.,그래두 내 점심 조금 줄게! 새우 부리토야 ㅎㅎ,내 점심이나 좀 나눠줌. 새우 부리토,하지만 제 점심을 조금 드리겠습니다. 새우 부리토입니다.
"감사합니다, 맛있게 먹겠습니다. 땅콩 알레르기가 있으면 많이 불편한가요?","고마워, 맛있게 먹을게. 땅콩 알레르기가 있으면 많이 불편해?",고마웡~ㅎㅎ 맛있게 먹을게! 땅콩 알레르기가 있음 많이 불편해?!,ㄳ. 땅콩 알레르기 있어서 불편하겠네,감사합니다. 맛있게 먹겠습니다. 땅콩 알레르기가 있으면 많이 불편합니까?
음식에 있어서 가장 불편한 것 같아요.,음식에 있어서 가장 불편한 것 같아.,음식에 있어서 가장 불편한 것 같아ㅜㅜ,음식이 제일 불편함,음식에 있어서 가장 불편합니다.
땅콩이 들어있는 음식을 하나도 못 먹잖아요.,땅콩이 들어있는 음식을 하나도 못 먹잖아.,땅콩이 들어있는 음식을 하나두 못 먹잖아ㅜㅜ,땅콩 들어있는 음식 하나도 못먹잖아,땅콩이 들어있는 음식을 하나도 못 먹잖습니까
"네, 그리고 땅콩이 없는 것 처럼 보여도 소량 첨가되어있는 음식이 정말 많습니다.","응, 그리고 땅콩이 없는 것 처럼 보여도 소량 첨가되어있는 음식이 정말 많아.","웅,,, 글구 땅콩이 없는 것처럼 보여도 소량 첨가 되어있는 음식이 진짜 많아,,,",ㅇ 그리고 땅콩 없는 것 같아도 소량 들어가있는거 많음,"네, 그리고 땅콩이 없는 것처럼 보여도 소량 첨가되어있는 음식이 정말 많습니다."
그런줄은 몰랐어요.,그런줄은 몰랐어.,"그런줄은 몰랐어,,,",ㅇㅎ 몰랐음,그런줄은 몰랐습니다.
예를 들면 그 땅콩버터와 포도잼 샌드위치에서 포도 잼에도 땅콩기름이 소량 들어있을 것입니다.,예를 들면 그 땅콩버터와 포도잼 샌드위치에서 포도 잼에도 땅콩기름이 소량 들어있을걸.,예를 들면 그 땅콩버터랑 포도잼 샌드위치에서 포도잼에도 땅콩기름 소량 들어있을거야!,예를 들어서 땅콩버터랑 포도잼 샌드위치에서 포도잼에도 땅콩기름 소량 있다,예를 들면 그 땅콩버터와 포도잼 샌드위치에서 포도잼에도 땅콩기름이 소량 들어있을 것입니다.
그러면 당신은 이 샌드위치 뿐만 아니라 일반 포도잼 샌드위치도 못 먹겟네요.,그러면 너는 이 샌드위치 뿐만 아니라 일반 포도잼 샌드위치도 못 먹겟네.,그럼 너어는 이 샌드위치뿐만 아니라 일반 포도잼 샌드위치도 못 먹겟네ㅜㅜ,그럼 니는 샌드위치랑 일반 포도잼 샌드위치도 못먹겠네 ㅋ,그러면 선생님은 이 샌드위치 뿐만 아니라 일반 포도잼 샌드위치도 못 드시겠네요
"네, 그래서 먹을 수 있는 음식이 많이 적어요.","응, 그래서 먹을 수 있는 음식이 많이 적어.",웅! 그래서 먹을 수 있는 음식이 많이 없어ㅜㅜ,ㅇ 그래서 먹을 수 있는 음식이 많이 적음,"네, 그래서 먹을 수 있는 음식이 많이 적습니다."
땅콩 알레르기 말고 다른 알레르기도 있나요?,땅콩 알레르기 말고 다른 알레르기도 있어?,땅콩 알레르기 말구 다른 알레르기도 있엉??,땅콩 알레르기 말고 알레르기 또 있냐?,땅콩 알레르기 말고 다른 알레르기도 있습니까?
견과류 전반에 대해서 알레르기 반응이 일어납니다.,견과류 전반에 대해서 알레르기 반응이 일어나.,"견과류 전반에 대해서 알레르기 반응이 일어나,,,",견과류 전반에 대해서 알레르기 반응 일어남 왜,견과류 전반에 알레르기 반응이 일어납니다.
"안녕하세요, 사탕 먹을래요?","안녕, 사탕 먹을래?",안뇽안뇽~~ 사탕 먹을랭???,ㅎㅇ 사탕 먹을거냐,"안녕하십니까, 사탕 드시겠습니까?"
어제 이빨을 빼서 못 먹습니다.,어제 이빨을 빼서 못 먹어.,이젠 치아를 빼서 못 머거ㅜㅜ,어제 이빨빼서 못먹음 ㅡㅡ,어제 이를 빼서 못 먹습니다.
이빨이 썩었었나요?,이빨이 썩었었어?,"치아가 썩어쒀,,,,????",이빨 썩었냐,치아가 썩었습니까?
"네, 사랑니가 썩어서 치료하기보다는 빼는 것이 나을 것이라고 의사가 말씀하셨어요.","응, 사랑니가 썩어서 치료하기보다는 빼는 것이 나을 것이라고 의사가 말씀하셨어.","웅,, 사랑니가 썩어서 치료하기보단 빼는 게 나을 거 같다구 의사가 말했어!",ㅇ 사랑니가 썩어서 치료하기보다는 빼는 게 낫다고 의사가 그러데,"네, 사랑니가 썩어서 치료하기보다는 빼는 것이 나을 것이라고 의사선생님이 말씀하셨습니다."
